Ean,ImageSize,ImageSourceUrl,EanUrl,FullEanUrl,IpfsHash,IpfsUrl
9780425291115,s,https://covers.openlibrary.org/b/id/8441206-S.jpg,9780425291115_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780425291115_s.jpg,QmfPERUYH6GJKfQwX9hX4nDtGm4rtBK2NqivHjMBqUd8Uc,https://ipfs.infura.io/ipfs/QmfPERUYH6GJKfQwX9hX4nDtGm4rtBK2NqivHjMBqUd8Uc
9780425291115,m,https://covers.openlibrary.org/b/id/8441206-M.jpg,9780425291115_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780425291115_m.jpg,QmS5qvQNcWG6RJTUxjnRfMJxuwvPavVWP1geoAKrMXUEYN,https://ipfs.infura.io/ipfs/QmS5qvQNcWG6RJTUxjnRfMJxuwvPavVWP1geoAKrMXUEYN
9780425291115,l,https://covers.openlibrary.org/b/id/8441206-L.jpg,9780425291115_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780425291115_l.jpg,Qma3u4ptYxQf4SNGkV67RQo577huB4St2xvt37fvd3w8UZ,https://ipfs.infura.io/ipfs/Qma3u4ptYxQf4SNGkV67RQo577huB4St2xvt37fvd3w8UZ
9780439376105,s,https://covers.openlibrary.org/b/id/6386215-S.jpg,9780439376105_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780439376105_s.jpg,QmcVn2WziZubBdeStLzRn2pNKFxmcpoRr7Nu1dKP2y5xnF,https://ipfs.infura.io/ipfs/QmcVn2WziZubBdeStLzRn2pNKFxmcpoRr7Nu1dKP2y5xnF
9780439376105,m,https://covers.openlibrary.org/b/id/6386215-M.jpg,9780439376105_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780439376105_m.jpg,QmUQC5xhbAVuM6TYCXjDEJ9ws5nwJXkNz2skfGgQU9HeBF,https://ipfs.infura.io/ipfs/QmUQC5xhbAVuM6TYCXjDEJ9ws5nwJXkNz2skfGgQU9HeBF
9780439376105,l,https://covers.openlibrary.org/b/id/6386215-L.jpg,9780439376105_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780439376105_l.jpg,QmcdifSbkVzHJGNSvZiWorqEAdRBKiyjVk3vcueHeT9ZWV,https://ipfs.infura.io/ipfs/QmcdifSbkVzHJGNSvZiWorqEAdRBKiyjVk3vcueHeT9ZWV
9780064407687,s,https://covers.openlibrary.org/b/id/8979835-S.jpg,9780064407687_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780064407687_s.jpg,QmXyDWU3nqWnitKLpbAsyy3iqr3FqFqcKnMpMvYoJchVwc,https://ipfs.infura.io/ipfs/QmXyDWU3nqWnitKLpbAsyy3iqr3FqFqcKnMpMvYoJchVwc
9780064407687,m,https://covers.openlibrary.org/b/id/8979835-M.jpg,9780064407687_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780064407687_m.jpg,QmU4gMzzQitaDhAUufqPaD8cUXHSWTKiSayFKAWuqvhuEo,https://ipfs.infura.io/ipfs/QmU4gMzzQitaDhAUufqPaD8cUXHSWTKiSayFKAWuqvhuEo
9780064407687,l,https://covers.openlibrary.org/b/id/8979835-L.jpg,9780064407687_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780064407687_l.jpg,QmVdXFspnXtcTCkQtZpjQ51zBeyoNDx5QRZVJpcupgGXd9,https://ipfs.infura.io/ipfs/QmVdXFspnXtcTCkQtZpjQ51zBeyoNDx5QRZVJpcupgGXd9
9780525485827,s,https://covers.openlibrary.org/b/id/9190083-S.jpg,9780525485827_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780525485827_s.jpg,QmP3ZSPtdDHu2M6d4gkRHpCNH4jp47Vjx7JBC6iRStiEwR,https://ipfs.infura.io/ipfs/QmP3ZSPtdDHu2M6d4gkRHpCNH4jp47Vjx7JBC6iRStiEwR
9780525485827,m,https://covers.openlibrary.org/b/id/9190083-M.jpg,9780525485827_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780525485827_m.jpg,QmTUzm5QrgxTTGKsfQczAL4cpRa4CcFGeAUc6NAmJsRaoA,https://ipfs.infura.io/ipfs/QmTUzm5QrgxTTGKsfQczAL4cpRa4CcFGeAUc6NAmJsRaoA
9780525485827,l,https://covers.openlibrary.org/b/id/9190083-L.jpg,9780525485827_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780525485827_l.jpg,QmTUzm5QrgxTTGKsfQczAL4cpRa4CcFGeAUc6NAmJsRaoA,https://ipfs.infura.io/ipfs/QmTUzm5QrgxTTGKsfQczAL4cpRa4CcFGeAUc6NAmJsRaoA
9780316528085,s,https://covers.openlibrary.org/b/id/8804426-S.jpg,9780316528085_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780316528085_s.jpg,QmNRnXthXWjgkSKU6xVTza7scEjvPHizEJQzrEK3NWZ1TP,https://ipfs.infura.io/ipfs/QmNRnXthXWjgkSKU6xVTza7scEjvPHizEJQzrEK3NWZ1TP
9780316528085,m,https://covers.openlibrary.org/b/id/8804426-M.jpg,9780316528085_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780316528085_m.jpg,QmTT335161cLh3WCCahnhSKz915todbP7Htu379mTZ7rym,https://ipfs.infura.io/ipfs/QmTT335161cLh3WCCahnhSKz915todbP7Htu379mTZ7rym
9780316528085,l,https://covers.openlibrary.org/b/id/8804426-L.jpg,9780316528085_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780316528085_l.jpg,QmWGUtdZKVGaQmcxKpBJWMmxqPtZCqiofZ5BBCAJj2UqZH,https://ipfs.infura.io/ipfs/QmWGUtdZKVGaQmcxKpBJWMmxqPtZCqiofZ5BBCAJj2UqZH
9780142414293,s,https://covers.openlibrary.org/b/id/6389632-S.jpg,9780142414293_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780142414293_s.jpg,QmSHJhgewqCGjsvbikSVyDxZKeWPz8Z4KDZov3sN3XHUu9,https://ipfs.infura.io/ipfs/QmSHJhgewqCGjsvbikSVyDxZKeWPz8Z4KDZov3sN3XHUu9
9780142414293,m,https://covers.openlibrary.org/b/id/6389632-M.jpg,9780142414293_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780142414293_m.jpg,QmTH1mzJhfV6zqW33JbSZjCLGMGdn9wXU591FLEUpLovV7,https://ipfs.infura.io/ipfs/QmTH1mzJhfV6zqW33JbSZjCLGMGdn9wXU591FLEUpLovV7
