EAN|DESCRIPTION
9780307573322|When a band of terrorists initiates a plot to gain control of the launch key to an MX missile, the computer whiz who designed the missile site's defenses tackles the challenge of thwarting them. But if he fails, the terrorists will launch an attack that could devastate the entire planet.
9780448405209|Uh-oh! A great big train filled with dolls and toys has stalled on the tracks. Who will help? The little blue engine says, "I think I can, I think I can." She's powered by positive thinking. Children will be enthralled with this colorful classic story.
9780345546821|<P><b><i>NEW YORK TIMES</i> BESTSELLER &bull; Jane Hawk&mdash;fiction&rsquo;s most relentless, resourceful, stunning new heroine&mdash;continues her battle against a murderous conspiracy in the riveting sequel to <i>The Silent Corner.</i></b><br><br> <b><i>&ldquo;No time to delay. Do what you were born to do. Fame will be yours when you do this.&rdquo;</i></b><br><br> These are the words that ring in the mind of mild-mannered, beloved schoolteacher Cora Gundersun&mdash;just before she takes her own life, and many others&rsquo;, in a shocking act of carnage. When the disturbing contents of her secret journal are discovered, it seems certain that she must have been insane. But Jane Hawk knows better.<br><br> In the wake of her husband&rsquo;s inexplicable suicide&mdash;and the equally mysterious deaths of scores of other exemplary individuals&mdash;Jane picks up the trail of a secret cabal of powerful players who think themselves above the law and beyond punishment. But the ruthless people bent on hijacking America&rsquo;s future for their own monstrous ends never banked on a highly trained FBI agent willing to go rogue&mdash;and become the nation&rsquo;s most wanted fugitive&mdash;in order to derail their insidious plans to gain absolute power with a terrifying technological breakthrough.<br><br> Driven by love for her lost husband and by fear for the five-year-old son she has sent into hiding, Jane Hawk has become an unstoppable predator. Those she is hunting will have nowhere to run when her shadow falls across them.<br><br><b>Don&rsquo;t miss any of Dean Koontz&rsquo;s gripping Jane Hawk thrillers&#58;</b><br><b>THE SILENT CORNER &bull; THE WHISPERING ROOM &bull; THE CROOKED STAIRCASE&#160;&bull; THE FORBIDDEN DOOR<b>&#160;&bull; THE NIGHT WINDOW&#160;</b></b><br><br><b>Praise for <i>The Whispering Room</i><br><br></b>&ldquo;Koontz has never exactly shied away from complex characters or situations. And this situation gets very complex indeed, as Jane pursues the people behind the conspiracy with the kind of single-minded relentlessness that makes the book absolutely spellbinding. As good as <i>The Silent Corner </i>was, this one&rsquo;s even better. . . . Koontz is on another roll with a new series that boasts a juicy premise and a compelling star. . . . Pure gold.&rdquo;<b>&mdash;<i>Booklist</i> (starred review)</b><br> &#160;<br>&ldquo;A deeply layered, satisfying thriller that is character-driven and nearly impossible to put down . . . grounded in many real-world, current issues . . . [<i>The Whispering Room</i>] never loses sight of the classic political/sci-fi/thriller elements that make it so much fun to read.&rdquo;<b>&mdash;Bookreporter</b>
9780439049962|An alien spaceship has landed on the roof of Jerome Horwitz Elementary School. Three tall aliens plan to overtake the Earth using schoolchildren as their zombie nerd henchmen. Disguised as gigantic lunch ladies, they begin their evil plot. Another job for Captain Underpants!
9780062404312|<p><strong><em>New York Times</em><em>&#160;</em>bestselling author and artist James Dean takes readers along for a fun, groovy adventure with Pete the Cat!</strong></p><p>In&#160;<em>Pete the Cat and the Tip-Top Tree House</em>, Pete invites all of his friends over to spend time in his tree house. When they climb up, they realize the tree house is not big enough to fit everyone! They all work together to build the coolest tree house ever.</p><p><em>Pete the Cat and the Tip-Top Tree House </em>is a My First I Can Read book, which means it&#8217;s perfect for shared reading with a child.</p>
9780385739139|<b>Read FALLEN, the worldwide sensation that's both dangerously exciting and darkly romantic.<br><br>#1&#160;<i>New York Times&#160;</i>bestseller&#160;<br>A&#160;<i>USA Today</i> bestseller<br>One of NPR.com's 100 Best-Ever Teen Novels<br>More than 3 million series copies in print!</b><br><br>There's something achingly familiar about Daniel Grigori.<br><br>Mysterious and aloof, he captures Luce Price's attention from the moment she sees him on her first day at the Sword & Cross boarding school in sultry Savannah, Georgia. He's the one bright spot in a place where cell phones are forbidden, the other students are all screw-ups, and security cameras watch every move.<br><br>Even though Daniel wants nothing to do with Luce--and goes out of his way to make that very clear--she can't let it go. Drawn to him like a moth to a flame, she has to find out what Daniel is so desperate to keep secret . . . even if it kills her.<br><br><b>"Sexy and fascinating and scary . . . I loved loved loved it!"--<i>New York Times</i>&#160;bestselling author P.C. Cast</b>
9780062688606|<p><strong><em>New York Times </em>Bestseller!</strong></p><p>R. A. Salvatore returns with one of fantasy's most beloved and enduring icons, the dark elf Drizzt Do'Urden, in an all-new trilogy full of swordplay, danger, and imaginative thrills,</p><p>Centuries ago, in the city of Menzoberranzan, the City of Spiders, the City of Drow, nestled deep in the unmerciful Underdark of Toril, a young weapon master earned a reputation far above his station or that of his poor house.</p><p>The greater nobles watched him, and one matron, in particular, decided to take him as her own. She connived with rival great houses to secure her prize, but that prize was caught for her by another, who came to quite enjoy the weapon master.</p><p>This was the beginning of the friendship between Zaknafein and Jarlaxle, and the coupling of Matron Malice and the weapon master who would sire Drizzt Do&#8217;Urden.</p><p>R. A. Salvatore reveals the Underdark anew through the eyes of Zaknafein and Jarlaxle&#8212;an introduction to the darkness that offers a fresh view of the opportunities to be found in the shadows and an intriguing prelude to the intriguing escapes that lie ahead in the modern-day Forgotten Realms. Here, a father and his son are reunited and embark on adventures that parallel the trials of centuries long past as the friends of old are joined by Drizzt, Hero of the North, trained by Grandmaster Kane in the ways of the monk.</p><p>But the scourge of the dangerous Lolth&#8217;s ambitions remain, and demons have been foisted on the unwitting of the surface. The resulting chaos and war will prove to be the greatest challenge for all three.</p>
9780316376105|<P><b>In bestseller Elin Hilderbrand's first Christmas novel, a family gathers on Nantucket for a holiday filled with surprises.</b><br><br>Kelley Quinn is the owner of Nantucket's Winter Street Inn and the proud father of four, all of them grown and living in varying states of disarray. Patrick, the eldest, is a hedge fund manager with a guilty conscience. Kevin, a bartender, is secretly sleeping with a French housekeeper named Isabelle. Ava, a school teacher, is finally dating the perfect guy but can't get him to commit. And Bart, the youngest and only child of Kelley's second marriage to Mitzi, has recently shocked everyone by joining the Marines. <br><br>As Christmas approaches, Kelley is looking forward to getting the family together for some quality time at the inn. But when he walks in on Mitzi kissing Santa Claus (or the guy who's playing Santa at the inn's annual party), utter chaos descends. With the three older children each reeling in their own dramas and Bart unreachable in Afghanistan, it might be up to Kelley's ex-wife, nightly news anchor Margaret Quinn, to save Christmas at the Winter Street Inn. <br><br>Before the mulled cider is gone, the delightfully dysfunctional Quinn family will survive a love triangle, an unplanned pregnancy, a federal crime, a small house fire, many shots of whiskey, and endless rounds of Christmas caroling, in this heart-warming novel about coming home for the holidays. <br><br> <b>Follow the Quinn family through the entire Winter Street Series&#58;</b></br></br> <ul> <li> <b><i>Winter Street </i></b></li> <li> <b><i>Winter Stroll </i></b></li> <li> <b><i>Winter Storms </i></b></li> <li> <b><i>Winter Solstice </i></b></li></ul>
9780062413369|<P><i>Everything has a spirit&#58; the willow tree with leaves that kiss the pond, the stream that feeds the river, the wind that exhales fresh snow&#8230;</i></p><P>But the spirits that reside within this land want to rid it of all humans. One woman stands between these malevolent spirits and the end of humankind&#58; the queen. She alone has the magical power to prevent the spirits from destroying every man, woman, and child. But queens are still only human, and no matter how strong or good they are, the threat of danger always looms.</p><P>Because the queen&#8217;s position is so precarious, young women are specially chosen to train as her heirs. Daleina, a seemingly quiet academy student, simply wants to right the wrongs that have befallen the land. Meanwhile, the disgraced champion Ven has spent his exile secretly fighting against the growing number of spirit attacks. When Daleina and Ven join forces, they embark on a treacherous quest to find the source of the spirits&#8217; restlessness&#8212;a journey that will force them to stand against both enemies and friends to save their land&#8230;before it&#8217;s bathed in blood.</p>
9780061986147|<P>&#8220;The plot of an Alafair Burke thriller doesn&#8217;t just rip from the headlines. She&#8217;s one step ahead of them. <i>212</i> scares you and keeps you turning the pages into the wee hours.&#8221; </br>&#8212;Harlan Coben </p><P>&#8220;Burke has created a strong female protagonist in the tradition of Sara Paretsky&#8217;s V.I. Warshawski and Marcia Muller&#8217;s Sharon McCone.&#8230; Utterly authentic.&#8221; </br>&#8212;<i>Boston Globe </i></p><P><i>212</i> is acclaimed author&#8212;and former deputy district attorney&#8212;Alafair Burke&#8217;s gripping thriller featuring hip, Manhattan-based detective Ellie Hatcher. Fans of Lisa Gardner, Sandra Brown, Karin Slaughter, Harlan Coben, Sue Grafton, and PJ Tracy will find it hard to put <i>212 </i>down until the very last page.</br></p>
